company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
Collegedunia,2.8,533,54,79,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Poly Medicure,3.7,533,6,52,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Tata Power Delhi Distribution,4.0,532,--,26,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Medlife,3.7,532,--,27,,"Job Security, Promotions / Appraisal, Salary & Benefits"
Medreich,3.8,532,5,44,Job Security,
Reliance Smart,4.2,532,--,27,"Skill Development / Learning, Job Security, Company Culture",
Telenor,4.3,532,--,7,"Company Culture, Work Life Balance, Salary & Benefits",
Aequs,3.6,532,13,29,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Travel Food Services,3.9,531,--,27,"Job Security, Work Life Balance",Promotions / Appraisal
UKG,3.2,531,80,87,,"Job Security, Promotions / Appraisal, Work Satisfaction"
MothersonSumi INfotech & Designs,3.3,530,10,32,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Diebold Nixdorf,3.9,530,52,44,Work Life Balance,Promotions / Appraisal
Smollan Group,4.2,530,2,33,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
PrimEra Medical Technologies,3.9,529,38,60,Job Security,
Wuerth,3.8,529,4,34,,"Promotions / Appraisal, Work Satisfaction"
India Japan Lighting,4.3,528,--,45,"Company Culture, Work Life Balance, Job Security",
Encore Capital Group,4.1,528,--,30,"Company Culture, Work Life Balance, Skill Development / Learning",
BASF,4.5,528,--,30,"Company Culture, Work Life Balance, Job Security",
Fidelity International,4.0,527,6,51,"Work Life Balance, Company Culture, Salary & Benefits",
Alorica,3.1,527,12,67,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Medikabazaar,4.6,527,--,11,"Work Life Balance, Salary & Benefits, Work Satisfaction",
Mount Litera Zee School,4.0,526,2,34,Skill Development / Learning,
SLMG Beverages,4.0,526,2,33,Skill Development / Learning,Promotions / Appraisal
Osource Global,3.9,526,12,20,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
BankBazaar,3.4,526,17,49,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
Sterlite Power,3.9,526,26,23,"Salary & Benefits, Skill Development / Learning",
Royal Caribbean International,4.5,525,--,16,"Company Culture, Skill Development / Learning, Salary & Benefits",
LanceSoft,3.2,525,26,53,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Axtria,3.0,525,23,102,,"Work Life Balance, Work Satisfaction, Company Culture"
Greenply,4.0,525,4,34,Salary & Benefits,
MPS Limited,3.8,524,13,18,,"Promotions / Appraisal, Salary & Benefits"
UnitedLex,3.1,524,29,67,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Celebal Technologies,3.1,524,9,107,,"Job Security, Promotions / Appraisal, Salary & Benefits"
Veritas,4.0,523,5,58,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
Rockwell Automation,3.8,523,6,68,"Work Life Balance, Company Culture",Promotions / Appraisal
Jain Irrigation Systems,4.1,522,--,20,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
NRB Bearings,4.2,522,--,36,"Work Life Balance, Job Security, Skill Development / Learning",
Quatrro,3.5,522,--,31,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
JSW Paints,3.9,522,--,64,,Promotions / Appraisal
Ather Energy,4.1,521,2,48,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Sl Lumax,3.5,521,1,25,,"Work Life Balance, Company Culture, Work Satisfaction"
Hinduja Housing Finance,3.7,520,32,29,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Ask Automotive,4.1,519,--,25,"Job Security, Work Life Balance, Salary & Benefits",
Y-Axis Overseas Careers,3.4,519,17,27,,"Promotions / Appraisal, Company Culture, Work Life Balance"
Goodyear,3.8,519,20,48,,"Promotions / Appraisal, Work Satisfaction"
Casagrand,3.9,519,14,50,Job Security,Promotions / Appraisal
Allied Digital Services,3.5,518,5,42,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Neuland Laboratories,4.0,517,5,41,Company Culture,Promotions / Appraisal
Turbo Energy,4.2,517,--,21,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Dhani Healthcare,3.6,516,--,58,,"Job Security, Promotions / Appraisal, Company Culture"
Lionbridge Technologies,3.7,516,14,33,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Lenovo,4.4,516,6,32,"Work Life Balance, Company Culture, Skill Development / Learning",
EPL Limited,3.9,515,--,19,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits"
Times Group,3.9,514,16,26,Work Life Balance,Promotions / Appraisal
Marlabs,3.3,514,3,35,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Qatar Airways,3.9,514,1,58,"Salary & Benefits, Skill Development / Learning",
Fiat India Automobiles,3.6,514,--,37,,"Promotions / Appraisal, Work Life Balance, Company Culture"
Hindustan Sanitaryware & Industries,4.1,514,--,21,"Work Life Balance, Job Security, Skill Development / Learning",
AVEVA,4.3,514,60,24,"Work Life Balance, Company Culture, Job Security",
Writer Corporation,3.7,514,40,27,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
CTS Consulting & Technical Support,3.8,513,--,153,,Promotions / Appraisal
Affinity Express,3.0,513,24,34,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Patel Infrastructure,3.9,513,--,25,"Work Life Balance, Work Satisfaction",Promotions / Appraisal
TTK Prestige,3.9,513,9,34,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Wipro PARI,3.5,513,12,38,,"Work Life Balance, Company Culture, Promotions / Appraisal"
Bharti Infratel,4.4,512,--,4,"Company Culture, Skill Development / Learning, Work Satisfaction",
Yatra,3.4,512,2,30,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Housing.com,3.7,512,73,68,"Salary & Benefits, Company Culture, Work Life Balance","Promotions / Appraisal, Job Security"
Grab A Grub Services,3.9,512,--,27,,"Job Security, Promotions / Appraisal"
Apple,4.2,512,--,133,"Salary & Benefits, Company Culture, Work Life Balance",
Ramky Infrastructure,4.2,511,6,39,"Job Security, Company Culture, Skill Development / Learning",
RR kabel,4.1,511,1,40,"Job Security, Work Life Balance, Company Culture",
Aurigo,4.8,511,24,13,"Company Culture, Salary & Benefits, Skill Development / Learning",
Thryve Digital,4.0,511,12,60,"Work Life Balance, Job Security, Company Culture",
Holiday Inn,4.0,510,--,16,"Job Security, Skill Development / Learning",
HRH Next Services,3.1,510,--,42,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
ChannelPlay,3.9,510,4,20,"Company Culture, Work Life Balance",Promotions / Appraisal
Victora Auto Private Limited,3.9,510,--,27,,Promotions / Appraisal
Shivam Autotech,3.7,509,--,28,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
CtrlS,4.0,509,4,37,"Salary & Benefits, Skill Development / Learning, Job Security",
Bunge India,4.0,508,96,34,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal
Jai Balaji Group,3.6,508,1,35,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Care Hospital,4.2,508,39,23,"Skill Development / Learning, Work Life Balance, Job Security",
Omaxe,4.1,507,1,33,"Salary & Benefits, Work Life Balance, Work Satisfaction",
NecLife,3.7,507,--,38,Job Security,"Promotions / Appraisal, Salary & Benefits"
Bharat Serums and Vaccines,4.0,507,11,24,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Satya MicroCapital,3.8,507,1,52,Salary & Benefits,"Work Life Balance, Work Satisfaction"
Amrit Cement,4.2,506,17,41,"Skill Development / Learning, Company Culture, Work Life Balance",
Emids Technologies Limited,3.7,506,7,39,Work Life Balance,"Promotions / Appraisal, Job Security"
Orient Cement,4.4,506,--,38,"Job Security, Company Culture, Work Life Balance",
Leverage Edu,4.2,505,7,33,"Salary & Benefits, Company Culture, Skill Development / Learning",
Kothari Agritech,4.7,505,--,42,"Company Culture, Work Satisfaction, Work Life Balance",
GKN,3.8,505,32,20,Work Life Balance,Promotions / Appraisal
Bristlecone,3.7,505,--,51,Work Life Balance,Promotions / Appraisal
V-Trans,4.1,505,--,25,"Job Security, Work Life Balance, Company Culture",
Aisin Automotive Haryana,4.2,505,--,26,"Company Culture, Job Security, Work Life Balance",
Licious,3.7,505,6,54,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Coal India,4.0,504,--,57,"Job Security, Salary & Benefits, Work Life Balance","Skill Development / Learning, Company Culture"
Bisk Farm,4.0,503,15,19,"Skill Development / Learning, Job Security",Promotions / Appraisal
Ebix Software India,3.2,503,4,33,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Nvidia,3.8,503,--,95,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Electrotherm,4.2,503,--,29,"Job Security, Skill Development / Learning, Work Life Balance",
Doosan Power Systems,4.2,501,2,32,"Work Life Balance, Salary & Benefits, Work Satisfaction","Promotions / Appraisal, Job Security"
Forbes Marshall,4.1,501,13,38,"Job Security, Company Culture, Skill Development / Learning",
Mindarika,3.8,501,--,31,"Job Security, Skill Development / Learning",Promotions / Appraisal
RITES,4.0,501,--,26,Work Life Balance,Promotions / Appraisal
Medtronic,4.1,501,221,66,"Company Culture, Salary & Benefits, Work Life Balance",
Quislex Legal Services,3.9,500,--,23,"Company Culture, Job Security, Skill Development / Learning",
Nihilent,3.3,500,14,57,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Gayatri Projects,3.9,500,--,36,,"Salary & Benefits, Promotions / Appraisal, Job Security"
AVTEC,3.7,500,5,20,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Venus Remedies,4.4,500,33,27,"Company Culture, Work Satisfaction, Job Security",
ITC Limited Foods Division,4.0,499,--,40,"Job Security, Skill Development / Learning",Promotions / Appraisal
Patel Engineering,4.1,499,3,33,"Job Security, Company Culture, Work Satisfaction",
Ameriprise Financial,3.7,499,--,58,"Job Security, Work Life Balance","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Saint Gobain Glass,4.0,499,--,22,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits"
Visteon,3.7,498,30,50,,"Work Life Balance, Promotions / Appraisal, Company Culture"
Sintex Industries,4.1,498,4,19,"Job Security, Work Life Balance, Skill Development / Learning",
Suraksha Diagnostic,3.9,498,6,39,Skill Development / Learning,
Syrma Technology,4.1,498,3,20,"Skill Development / Learning, Job Security, Company Culture",
PPG Asian Paints,4.1,498,1,33,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Shriram Housing Finance,3.9,497,9,37,Company Culture,
Mitsubishi Electric,4.3,497,5,24,"Company Culture, Work Life Balance, Job Security",
Netmeds.com,3.6,497,1,39,,"Promotions / Appraisal, Job Security, Work Satisfaction"
IIFL Home Finance,3.9,497,6,23,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
JM Financial,3.8,496,11,40,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
United Spirits,4.0,496,--,12,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
3M,4.3,496,63,27,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
Amway India Enterprises,4.1,496,--,15,"Company Culture, Skill Development / Learning, Salary & Benefits",
ASG Eye Hospital,3.6,496,78,42,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Praj Industries,4.1,495,12,35,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Turtlemint,3.6,495,2,38,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Entrata,4.4,495,10,32,"Company Culture, Work Life Balance, Work Satisfaction",
Surya Roshni,4.1,495,--,14,"Job Security, Work Life Balance, Company Culture",
Gartner,4.2,494,56,73,"Work Life Balance, Job Security, Company Culture",
Kissht Finance,3.9,494,2,26,"Salary & Benefits, Work Satisfaction, Skill Development / Learning",
Country Holidays Inn & Suites,4.4,493,--,109,"Work Life Balance, Company Culture, Skill Development / Learning",
CARE,4.4,493,1,39,"Company Culture, Skill Development / Learning, Work Satisfaction",
Orient Technologies,3.7,492,14,24,,"Promotions / Appraisal, Salary & Benefits"
Saudi Aramco,4.6,492,--,52,"Company Culture, Work Life Balance, Salary & Benefits",
Hilton,4.3,492,115,15,"Skill Development / Learning, Job Security, Company Culture",
Dhanuka Agritech,3.8,491,--,38,Skill Development / Learning,Promotions / Appraisal
RenewBuy,3.5,491,11,37,,"Promotions / Appraisal, Job Security, Company Culture"
Vaaman Engineers,3.9,491,4,50,,Promotions / Appraisal
Boeing,3.9,491,8,78,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
LG Soft India,3.3,490,3,81,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Samunnati Financial Intermediation and Services,4.4,490,--,15,"Work Life Balance, Company Culture, Work Satisfaction",
OMICS International,2.5,489,--,22,,"Salary & Benefits, Promotions / Appraisal, Job Security"
Triveni Engineering & Industries,4.1,489,--,31,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Nomura Holdings,3.9,489,165,63,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
Lohia Group,3.7,488,2,41,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Medcode,4.6,488,6,4,"Skill Development / Learning, Company Culture, Job Security",
Quikr,3.8,488,14,31,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Jubilant Generics,4.0,488,--,16,"Salary & Benefits, Work Life Balance",
Okaya Power,3.7,487,2,30,,Promotions / Appraisal
Rane NSK Steering Systems,4.2,487,--,27,"Skill Development / Learning, Company Culture, Work Satisfaction",
Moglix,3.5,487,13,49,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Advantmed,3.7,486,12,45,,"Promotions / Appraisal, Salary & Benefits"
Courtyard by Marriott,4.2,486,--,16,"Job Security, Company Culture, Skill Development / Learning",
Emami Agrotech,3.8,486,1,32,,Promotions / Appraisal
ThoughtWorks,3.9,485,--,131,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
TCI Express,3.9,485,--,34,"Job Security, Skill Development / Learning",
Future Lifestyle Fashion,4.2,484,--,8,"Skill Development / Learning, Work Life Balance, Company Culture",
TVS Electronics,3.8,484,41,22,,"Promotions / Appraisal, Salary & Benefits"
Signutra (Health & Nutrition Division of Win - Medicare Pvt Ltd),4.6,483,--,13,"Company Culture, Skill Development / Learning, Work Satisfaction",
General Motors,4.3,483,11,31,"Company Culture, Work Life Balance, Skill Development / Learning",
Gandhi Automations,4.1,483,5,31,"Salary & Benefits, Job Security, Skill Development / Learning",
DealShare,3.4,483,1,36,,"Job Security, Promotions / Appraisal, Company Culture"
BSH Home Appliances Group,4.1,483,12,23,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
DBG Technology,4.0,483,5,58,"Job Security, Salary & Benefits",
Asb International,4.0,483,--,23,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Centaur Pharmaceuticals,3.6,482,1,23,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Optimum Infosystem,3.4,482,36,51,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Quality Austria Central Asia,3.5,481,3,19,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Ongc Petro Additions,4.1,481,--,32,"Job Security, Work Life Balance, Work Satisfaction",
Unimoni,3.9,481,--,14,Work Life Balance,Promotions / Appraisal
Livpure,4.0,480,--,28,"Company Culture, Work Life Balance, Skill Development / Learning",
Keventer,3.8,479,1,20,Work Life Balance,Promotions / Appraisal
Genesys International Corporation,3.7,479,5,20,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Infor Global Solution,4.1,479,80,62,"Job Security, Work Life Balance, Company Culture",
Dodla Dairy,4.3,479,13,30,"Job Security, Company Culture, Work Life Balance",
Amber Enterprises India,3.9,479,18,36,Skill Development / Learning,Promotions / Appraisal
Suma Soft,3.8,479,1,39,,"Promotions / Appraisal, Salary & Benefits"
Ge India Industrial,4.3,478,--,15,"Company Culture, Skill Development / Learning, Work Life Balance",
Nephroplus,4.1,478,2,26,"Skill Development / Learning, Work Life Balance, Company Culture",
