company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
Kalpataru Projects International,4.2,3.8k,2,219,"Job Security, Skill Development / Learning, Salary & Benefits",
Atos Syntel,3.6,3.8k,21,272,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Optum,4.0,3.8k,30,392,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Swiggy,3.8,3.8k,116,399,,"Job Security, Promotions / Appraisal"
BNY,4.0,3.8k,416,319,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Amdocs,3.9,3.7k,54,503,Company Culture,Promotions / Appraisal
Hewlett Packard Enterprise,4.2,3.7k,28,224,"Company Culture, Work Life Balance, Job Security",
State Bank of India,3.8,3.7k,8,229,"Job Security, Salary & Benefits",Work Life Balance
Bosch,4.2,3.6k,--,320,"Company Culture, Work Life Balance, Job Security",
CBRE,4.2,3.6k,65,243,"Skill Development / Learning, Job Security, Company Culture",
Hyundai Motor India Limited,4.4,3.6k,6,239,"Job Security, Salary & Benefits, Skill Development / Learning",
